city,country,main_temp,main_pressure,main_humidity,weather_description,datetime
Paris,FR,15.16,1021,62,scattered clouds,2025-03-25T15:24:18
London,GB,13.26,1022,77,overcast clouds,2025-03-25T15:24:18
New York,US,11.22,1013,41,clear sky,2025-03-25T15:24:18
Berlin,DE,12.19,1016,67,clear sky,2025-03-25T15:24:18
Tokyo,JP,18.65,1001,54,clear sky,2025-03-25T15:24:18
Paris,FR,15.16,1021,62,scattered clouds,2025-03-25T15:25:10
London,GB,13.26,1022,77,overcast clouds,2025-03-25T15:25:10
New York,US,11.21,1013,41,clear sky,2025-03-25T15:25:10
Berlin,DE,12.21,1016,70,clear sky,2025-03-25T15:25:10
Tokyo,JP,18.47,1001,56,clear sky,2025-03-25T15:25:10
Paris,FR,15.16,1021,62,scattered clouds,2025-03-25T15:26:09
London,GB,13.26,1022,77,overcast clouds,2025-03-25T15:26:09
New York,US,11.21,1013,41,clear sky,2025-03-25T15:26:09
Berlin,DE,12.21,1016,70,clear sky,2025-03-25T15:26:09
Tokyo,JP,18.47,1001,56,clear sky,2025-03-25T15:26:09
Paris,FR,15.16,1021,62,scattered clouds,2025-03-25T15:27:09
London,GB,13.26,1022,77,overcast clouds,2025-03-25T15:27:09
New York,US,11.21,1013,41,clear sky,2025-03-25T15:27:09
Berlin,DE,12.21,1016,70,clear sky,2025-03-25T15:27:09
Tokyo,JP,18.47,1001,56,clear sky,2025-03-25T15:27:09
Paris,FR,15.16,1021,62,scattered clouds,2025-03-25T15:28:08
London,GB,13.26,1022,77,overcast clouds,2025-03-25T15:28:08
New York,US,11.21,1013,41,clear sky,2025-03-25T15:28:08
Berlin,DE,12.21,1016,70,clear sky,2025-03-25T15:28:08
Tokyo,JP,18.47,1001,56,clear sky,2025-03-25T15:28:08
Paris,FR,15.16,1021,62,scattered clouds,2025-03-25T15:29:09
London,GB,13.26,1022,77,overcast clouds,2025-03-25T15:29:09
New York,US,11.21,1013,41,clear sky,2025-03-25T15:29:09
Berlin,DE,12.21,1016,70,clear sky,2025-03-25T15:29:09
Tokyo,JP,18.47,1001,56,clear sky,2025-03-25T15:29:09
Paris,FR,15.16,1021,62,scattered clouds,2025-03-25T15:30:10
London,GB,13.26,1022,77,overcast clouds,2025-03-25T15:30:10
New York,US,11.21,1013,41,clear sky,2025-03-25T15:30:10
Berlin,DE,12.21,1016,70,clear sky,2025-03-25T15:30:10
Tokyo,JP,18.47,1001,56,clear sky,2025-03-25T15:30:10
